URL;PublicationDate;ReferenceNumber;ReferenceURL;Initiative;Name;Keywords;Topics
https://portal.opengeospatial.org/files/?artifact_id=64189&version=3;2015;15-068r2;http://www.opengis.net/doc/PER/tb11-geopackaging;Testbed-11;Testbed-11 GeoPackaging Engineering Report;Synchronization,WFS,Services,OWS Context,Events,Governance,GML,Mapping,Profiling,XML,;DataStorage.GeoPackage
https://portal.opengeospatial.org/files/?artifact_id=65887&version=1;2015;15-073r2;http://www.opengis.net/doc/PER/t11-dgiwg-gmljp2;Testbed-11;Testbed-11 DGIWG GMLJP2 testing results Engineering Report;Compliance,GML,Profiling,XML,Events,Security,WCS,Services,Mapping,Coverage,;DataModels.Other
https://portal.opengeospatial.org/files/?artifact_id=64406&version=2;2015;15-077r1;http://www.opengis.net/doc/PER/tb11-SOAP;Testbed-11;Testbed-11 SOAP Interface Engineering Report: Comparison on the Usage of SOAP Across OGC Web service interfaces;SOAP,Services,XML,CSW,WCS,WFS,Coverage,SOS,WCPS,Messaging,;Architecture.SOAP
https://portal.opengeospatial.org/files/?artifact_id=64761&version=1;2015;15-083;http://www.opengis.net/doc/PER/testbed11_summary_er;Testbed-11;Testbed 11 Summary Engineering Report;Aviation,Security,Semantic,Linked Data,Compliance,Governance,Services,WFS,Architecture,IP,;IP
http://docs.opengeospatial.org/per/15-118r1.html;2016;15-118r1;http://www.opengis.net/doc/PER/IMIS-Profile-recs4-OWS;Incident Management Information Sharing (IMIS) Internet of Things (IOT) Pilot;Incident Management Information Sharing Profile Recommendations for OGC Web Services Engineering Report;SOS,Services,WFS,WMS,Events,XML,GML,Profiling,Catalog,Mapping,;Domains.InternetOfThings
http://docs.opengeospatial.org/per/16-014r2.html;2016;16-014r2;http://www.opengis.net/doc/PER/imis_iot;Incident Management Information Sharing (IMIS) Internet of Things (IOT) Pilot;Incident Management Information Sharing (IMIS) Internet of Things (IoT) Architecture Engineering Report;Services,Events,SOS,Catalog,Mapping,Architecture,SWE,WMS,Platforms,Cloud,;Domains.InternetOfThings
http://docs.opengeospatial.org/per/16-017.html;2017;16-017;http://www.opengis.net/doc/PER/t12-E003;Testbed-12;Testbed-12 Asynchronous Messaging for Aviation;Messaging,PubSub,AIXM,Services,Architecture,Events,Broker,Aviation,Profiling,SOAP,;Domains.Aviation
http://docs.opengeospatial.org/per/16-018.html;2017;16-018;http://www.opengis.net/doc/PER/t12-E005;Testbed-12;Testbed-12 Aviation Architecture Engineering Report;Aviation,Architecture,Services,WFS,AIXM,Broker,Messaging,FIXM,PubSub,Catalog,;Domains.Aviation
http://docs.opengeospatial.org/per/16-020.html;2017;16-020;http://www.opengis.net/doc/PER/t12-A087;Testbed-12;Testbed-12 ShapeChange Engineering Report;RDF,Profiling,Ontology,Conversion,Mapping,XML,OCL,JSON,NAS,JSON-LD,;DataModels.Modeling
http://docs.opengeospatial.org/per/16-021r1.html;2017;16-021r1;http://www.opengis.net/doc/PER/t12-U001;Testbed-12;Testbed-12 Low Bandwidth & Generalization Engineering Report;WFS,Profiling,Services,Events,XML,GML,Mapping,JSON,Architecture,GeoJSON,;Clients.Communication
http://docs.opengeospatial.org/per/16-022.html;2017;16-022;http://www.opengis.net/doc/PER/t12-A079;Testbed-12;Testbed-12 WPS Conflation Service Profile Engineering Report;Profiling,Services,REST,JSON,Events,XML,Mapping,Data quality,GML,Workflows,;DataModels.Modeling
http://docs.opengeospatial.org/per/16-023r3.html;2017;16-023r3;http://www.opengis.net/doc/PER/t12-A067;Testbed-12;Testbed-12 Implementing Asynchronous Services Response Engineering Report;Services,WFS,SOAP,Messaging,PubSub,Semantic,Events,XML,Asynchronous Communication,WCS,;Architecture.AsynchronousCommunication, Clients.Communication
http://docs.opengeospatial.org/per/16-024r2.html;2017;16-024r2;http://www.opengis.net/doc/PER/t12-E001;Testbed-12;Testbed-12 — Catalog Services for Aviation;Services,Registries,Catalog,Profiling,OpenSearch,Aviation,Domains,NAS,WFS,Governance,;Services.CSW, Domains.Aviation
http://docs.opengeospatial.org/per/16-027.html;2017;16-027;http://www.opengis.net/doc/PER/t12-A090;Testbed-12;Testbed-12 Web Service Implementation Engineering Report;Services,Profiling,Security,WFS,WCS,Mapping,WMS,CSW,SOS,PubSub,;Services.CSW, Services.SOS, Services.WCS, Services.WMS, Services.WMTS, Services.WPS, Services.WFS, Services.Other
http://docs.opengeospatial.org/per/16-028r1.html;2017;16-028r1;http://www.opengis.net/doc/PER/t12-F011;Testbed-12;Testbed-12 FIXM GML Engineering Report;FIXM,GML,XML,AIXM,Services,WFS,Aviation,Profiling,WXXM,Domains,;Domains.Aviation, DataModels.FIXM
http://docs.opengeospatial.org/per/16-029r1.html;2017;16-029r1;http://www.opengis.net/doc/PER/t12-A082;Testbed-12;Testbed-12 GeoPackage Routing and Symbology Engineering Report;Mapping,Events,Governance,JSON,Data Modeling,;DataStorage.GeoPackage
http://docs.opengeospatial.org/per/16-030.html;2017;16-030;http://www.opengis.net/doc/PER/t12-A083;Testbed-12;Testbed-12 Testbed-12 GeoPackage Mobile Apps Integration Engineering Report;Mapping,Messaging,Cloud,Events,Services,Platforms,Architecture,;DataStorage.GeoPackage, Clients.HCI
http://docs.opengeospatial.org/per/16-031r1.html;2017;16-031r1;http://www.opengis.net/doc/PER/t12-A085;Testbed-12;Testbed-12 GeoPackage Change Request Evaluations;Events,Mapping,Vector Tiles,Profiling,Semantic,;DataStorage.GeoPackage
http://docs.opengeospatial.org/per/16-033r1.html;2017;16-033r1;http://www.opengis.net/doc/PER/t12-NA004;Testbed-12;Testbed-12 WCS Profile Update Engineering Report;WCS,Profiling,Coverage,Services,GML,SWE,Events,Compliance,OM,Domains,;Services.WCS
