URL;PublicationDate;ReferenceNumber;ReferenceURL;Initiative;Name;Keywords;Topics
http://docs.opengeospatial.org/per/16-093r1.html;2016;16-093r1;http://www.opengis.net/doc/PER/iot-protocol-mapping;Incident Management Information Sharing (IMIS) Internet of Things (IOT) Pilot;Incident Management Information Sharing Internet of Things Protocol Mapping Engineering Report;messaging, SWE;Domains.InternetOfThings
http://docs.opengeospatial.org/per/17-088r1.html;2018;17-088r1;http://www.opengis.net/doc/PER/sdrraasse;Strengthening Disaster Risk Reduction Across the Americas Summit - Simulated Exercise;Strengthening Disaster Risk Reduction Across the Americas Summit - Simulated Exercise Engineering Report;;Domains.DisasterManagement
https://portal.opengeospatial.org/files/?artifact_id=39513&version=2;2010;10-061r1;na;OGC Web Services, Phase 7 (OWS-7);OWS-7 Dynamic Sensor Notification Engineering Report;SWE, OM, messaging;Architecture.SensorWeb
https://portal.opengeospatial.org/files/?artifact_id=40139&version=2;2010;10-087;na;OGC Web Services, Phase 7 (OWS-7);OWS-7 Motion Imagery Discovery and Retrieval Engineering Report;SWE;DataModels.Modeling, DataModels.Video
https://portal.opengeospatial.org/files/?artifact_id=40313&version=2;2010;10-036r2;na;OGC Web Services, Phase 7 (OWS-7);OWS-7 Motion Video Change Detection;SOS, WPS, SWE;DataModels.Modeling, DataModels.Video
https://portal.opengeospatial.org/files/?artifact_id=39728&version=2;2010;10-073r1;na;OGC Web Services, Phase 7 (OWS-7);OWS-7 CCSI-SWE Best Practices Engineering Report;SWE, OM, SOS, SPS;Architecture.SensorWeb
https://portal.opengeospatial.org/files/?artifact_id=50438&version=2;2014;10-088r3;na;OGC Web Services, Phase 7 (OWS-7);OWS-7 Schema Automation Engineering Report;KML;DataModels.Modeling
https://portal.opengeospatial.org/files/?artifact_id=40311&version=2;2010;10-074;na;OGC Web Services, Phase 7 (OWS-7);OWS-7 Feature and Statistical Analysis Engineering Report;WFS, WPS;DataModels.Modeling
https://portal.opengeospatial.org/files/?artifact_id=40334&version=2;2010;10-086r1;na;OGC Web Services, Phase 7 (OWS-7);OWS-7 - Authoritative Data Source Directory Engineering Report;OpenSearch, catalog, CSW;DataModels.Modeling, Semantic.Registries
https://portal.opengeospatial.org/files/?artifact_id=40441&version=2;2010;10-035r2;na;OGC Web Services, Phase 7 (OWS-7);OWS-7 Information Sharing Engineering Report;KML, Atom, OWS Context;DataModels.Modeling
https://portal.opengeospatial.org/files/?artifact_id=39476&version=3;2011;10-069r2;na;OGC Web Services, Phase 7 (OWS-7);OWS 7 Engineering Report -- Geosynchronization service;;Clients.Communication, Architecture.AsynchronousCommunication
https://portal.opengeospatial.org/files/?artifact_id=40310&version=2;2010;10-059r2;na;OGC Web Services, Phase 7 (OWS-7);OWS-7 Web Processing Service Profiling Engineering Report;WPS;Services.WPS, DataModels.Modeling
